Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
10% Sanima Bank Limited Debenture,1,1050.00,1050.00,1050.00,25.00,26250.00,1050.00,0.00
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1050.00,1050.00,1050.00,25.00,26250.00,1050.00,0.00
10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1046.20,1046.20,1046.20,100.00,104620.00,1060.00,-13.80
11% NIC Asia Debenture 082/83,3,1090.00,1090.00,1090.00,275.00,299750.00,1078.00,12.00
8.5% Sanima Debenture 2087,3,995.00,985.10,995.00,75.00,74308.00,990.00,5.00
8.5% SBL Debenture 2084,1,978.50,978.50,978.50,10.00,9785.00,985.00,-6.50
9.5% Manjushree Finance Limited Debenture 2085,3,1007.10,1006.60,1007.10,100.00,100690.00,1012.00,-4.90
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,130,1705.00,1665.00,1670.00,8029.00,13475357.50,1697.00,-27.00
Agriculture Development Bank Limited,564,575.00,560.00,571.00,107729.00,61237502.60,570.00,1.00
Ajod Insurance Limited,350,900.00,865.00,870.00,19148.00,16904309.20,881.00,-11.00
Ankhu Khola Jalvidhyut Company Ltd,350,330.00,318.00,326.00,29843.00,9647082.70,333.00,-7.00
Api Power Company Ltd.,1766,469.90,455.00,464.90,388051.00,179876587.90,468.00,-3.10
Arun Kabeli Power Ltd.,1287,575.00,555.00,563.00,280372.00,158306236.90,565.00,-2.00
Arun Valley Hydropower Development Co. Ltd.,1408,535.00,520.40,526.50,299119.00,157959560.40,530.00,-3.50
Asha Laghubitta Bittiya Sanstha Ltd,77,2001.00,1962.00,1991.00,4439.00,8819733.20,1980.00,11.00
Asian Life Insurance Co. Limited,270,1451.00,1411.00,1438.00,46598.00,66779215.30,1429.00,9.00
Bank of Kathmandu Ltd.,463,410.00,402.00,405.90,59840.00,24283058.80,408.00,-2.10
Barun Hydropower Co. Ltd.,991,630.00,577.00,621.00,214124.00,131207752.00,589.00,32.00
Best Finance Company Ltd.,1067,494.60,467.00,475.00,128287.00,61443174.20,485.00,-10.00
Bishal Bazar Company Limited,99,7200.00,6900.00,6950.00,1635.00,11501049.00,7061.00,-111.00
Bottlers Nepal (Terai) Limited,25,11128.20,10692.00,10905.80,475.00,5151186.00,11000.00,-94.20
Butwal Power Company Limited,674,567.00,542.50,549.00,72848.00,40145228.20,556.00,-7.00
CEDB Hydropower Development Company Limited,1125,818.00,787.00,800.00,51189.00,41059604.50,817.00,-16.00
Central Finance Co. Ltd.,875,544.00,514.00,514.00,128485.00,67651374.00,533.00,-19.00
Century Commercial Bank Ltd.,754,295.00,290.00,292.90,161451.00,47314921.00,294.00,-1.10
Century Commercial Bank Ltd. Promoter Share,4,118.00,118.00,118.00,9157.00,1080526.00,118.00,0.00
Chandragiri Hills Limited,1183,1790.00,1670.00,1737.00,44873.00,78281143.70,1637.90,99.10
Chhimek Laghubitta Bikas Bank Limited,372,1844.00,1812.00,1823.00,38444.00,70043897.40,1823.00,0.00
Chhyangdi Hydropower Ltd.,347,570.00,535.00,570.00,61744.00,34208074.20,550.00,20.00
Chilime Hydropower Company Limited,519,707.00,691.00,693.90,77767.00,54243875.40,707.00,-13.10
Citizen Bank International Limited,662,421.00,415.00,420.00,130681.00,54609484.20,419.00,1.00
Citizen Investment Trust,580,4125.00,4026.00,4050.00,24813.00,100955657.10,4049.00,1.00
Citizens Mutual Fund -1,68,15.28,14.31,15.17,247000.00,3641104.00,14.50,0.67
CITIZENS MUTUAL FUND 2,17,15.90,15.65,15.83,25075.00,397820.00,15.80,0.03
Civil Bank Ltd,785,300.00,293.00,294.50,139394.00,41115751.30,298.00,-3.50
Civil Laghubitta Bittiya Sanstha Ltd.,104,1730.00,1651.00,1665.00,4628.00,7698203.30,1698.70,-33.70
Corporate Development Bank Limited,150,821.00,775.00,793.00,11384.00,9014341.40,805.00,-12.00
