Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
10% Nabil Debenture 2082,5,1042.80,1030.00,1040.00,275.00,285890.00,1064.00,-24.00
10% Prabhu Bank Debenture 2084 ,2,1055.00,1045.10,1055.00,725.00,757945.00,1045.10,9.90
10% Sanima Bank Limited Debenture,3,1047.10,1047.10,1047.10,80.00,83768.00,1047.10,0.00
10% Sunrise Debenture 2080,1,1050.00,1050.00,1050.00,25.00,26250.00,1046.00,4.00
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,1050.20,1050.20,1050.20,50.00,52510.00,1050.00,0.20
10.35% Agricultural Bank Debenture 2083,7,1076.10,1055.00,1060.30,520.00,553577.00,1046.00,14.30
10.50% SBL Debenture 2082,6,1111.40,1067.50,1067.50,235.00,259859.50,1134.00,-66.50
11% NIC Asia Debenture 082/83,2,1107.40,1085.30,1085.30,225.00,248612.50,1130.00,-44.70
12% ICFC Finance Limited Debenture 2083,4,1170.00,1151.20,1151.20,190.00,219326.50,1170.00,-18.80
8.5% Sanima Debenture 2087,6,985.00,980.00,985.00,235.00,230951.00,983.40,1.60
8.5% SBL Debenture 2084,2,985.00,985.00,985.00,75.00,73875.00,986.00,-1.00
9% NIC Asia Debenture 2081/82,1,1001.00,1001.00,1001.00,25.00,25025.00,1001.00,0.00
9.5% Manjushree Finance Limited Debenture 2085,1,1007.00,1007.00,1007.00,25.00,25175.00,1005.60,1.40
9.5% NCC Debenture 2086,3,1008.00,1006.30,1006.30,300.00,302199.00,1020.00,-13.70
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,95,1675.00,1640.00,1666.00,2530.00,4210937.50,1668.00,-2.00
Agriculture Development Bank Limited,1037,600.00,575.00,595.00,203897.00,120367566.90,583.90,11.10
Ajod Insurance Limited,396,831.00,813.00,823.00,16250.00,13397820.50,823.00,0.00
Ankhu Khola Jalvidhyut Company Ltd,499,492.40,456.60,492.40,51008.00,25074708.40,447.70,44.70
Api Power Company Ltd.,4847,665.90,625.00,630.00,985423.00,634671924.20,640.00,-10.00
Arun Kabeli Power Ltd.,417,802.20,743.80,802.20,125488.00,100568674.80,729.30,72.90
Arun Valley Hydropower Development Co. Ltd.,1643,690.80,640.00,690.80,670086.00,457585255.30,628.00,62.80
Asha Laghubitta Bittiya Sanstha Ltd,61,2005.00,1950.00,1980.00,2545.00,5032098.00,1995.00,-15.00
Asian Life Insurance Co. Limited,1053,1475.00,1410.00,1455.00,125953.00,182919169.40,1394.00,61.00
Bank of Kathmandu Ltd.,687,405.90,391.00,400.00,113654.00,45183679.50,396.00,4.00
Barun Hydropower Co. Ltd.,1205,763.40,704.90,750.00,205069.00,151797817.50,694.00,56.00
Best Finance Company Ltd.,1648,620.00,580.30,599.00,210574.00,126236653.40,569.00,30.00
Bishal Bazar Company Limited,57,6990.00,6771.00,6771.00,930.00,6397489.50,6900.00,-129.00
Bottlers Nepal (Terai) Limited,33,10996.00,10672.20,10800.00,560.00,6047946.00,10890.00,-90.00
Butwal Power Company Limited,1564,660.00,629.00,635.00,205062.00,133152262.50,634.00,1.00
CEDB Hydropower Development Company Limited,1633,1255.90,1164.60,1238.00,88969.00,109698032.90,1141.80,96.20
Central Finance Co. Ltd.,1458,761.00,705.70,729.00,312367.00,231236903.20,691.90,37.10
Century Commercial Bank Ltd.,1099,291.00,280.30,288.80,232154.00,66397391.90,286.50,2.30
Century Commercial Bank Ltd. Promoter Share,1,120.00,120.00,120.00,23353.00,2802360.00,120.00,0.00
Chandragiri Hills Limited,295,1560.00,1475.10,1500.00,7367.00,11077474.00,1499.00,1.00
Chhimek Laghubitta Bikas Bank Limited,616,1900.00,1886.00,1894.00,44935.00,85023620.50,1900.00,-6.00
Chhyangdi Hydropower Ltd.,673,715.00,650.00,668.00,108897.00,74447572.50,679.00,-11.00
Chilime Hydropower Company Limited,873,731.00,707.00,708.00,148739.00,107022580.90,705.30,2.70
Citizen Bank International Limited,1052,419.00,402.00,415.00,264985.00,108839939.50,405.50,9.50
Citizen Investment Trust,558,4050.00,3980.00,4030.00,22695.00,91168304.70,4060.00,-30.00
Citizens Mutual Fund -1,377,15.90,14.79,15.42,1447065.00,22461854.90,14.50,0.92
CITIZENS MUTUAL FUND 2,96,16.09,15.19,15.76,300430.00,4730942.00,14.90,0.86
Civil Bank Ltd,1342,294.00,278.20,287.00,295559.00,84358695.00,285.00,2.00
Civil Bank Ltd Promoter Share,3,161.00,161.00,161.00,8369.00,1347409.00,162.00,-1.00
Civil Laghubitta Bittiya Sanstha Ltd.,79,1610.00,1565.00,1598.00,20535.00,32438224.00,1595.00,3.00
Corporate Development Bank Limited,115,1073.00,1020.00,1030.00,8670.00,9059579.80,1052.00,-22.00
Deprosc Laghubitta Bittiya Sanstha Limited,548,1825.00,1795.10,1807.00,40809.00,73679176.60,1818.00,-11.00
Dibyashwori Hydropower Ltd.,1074,485.20,435.00,437.00,127991.00,58384836.30,441.10,-4.10
Everest Bank Limited,460,766.80,745.10,759.00,86901.00,65700308.50,754.00,5.00
Everest Insurance Co. Ltd.,326,820.00,787.00,802.00,38235.00,30791945.10,800.00,2.00
Everest Insurance Co. Ltd. Promoter Share,26,495.00,481.00,494.00,11453.00,5530240.00,490.00,4.00
Excel Development Bank Ltd.,288,1184.00,1080.00,1108.00,57940.00,64185574.80,1119.00,-12.80
First Micro Finance Development Bank Ltd.,1448,1365.00,1270.00,1290.00,162989.00,213856718.20,1315.60,-25.60
Forward Community Microfinance Bittiya Sanstha Ltd.,193,3126.00,3050.00,3089.00,10461.00,32308441.20,3105.00,-16.00
Ganapati Microfinance Bittiya Sanstha Limited,53,1750.00,1707.00,1744.00,2196.00,3793347.00,1740.00,4.00
Garima Bikas Bank Limited,2832,750.00,690.00,720.00,479706.00,346037518.00,689.00,31.00
General Insurance Company Nepal Ltd,485,715.00,690.00,714.00,18199.00,12815002.10,705.00,9.00
Ghalemdi Hydro Limited,539,555.90,506.00,509.00,52904.00,27899320.70,521.00,-12.00
Global IME Bank Limited,1658,490.00,478.00,484.40,243716.00,117964911.40,486.70,-2.30
Global IME Laghubitta Bittiya Sanstha Ltd.,233,2633.00,2580.00,2614.00,7485.00,19479644.70,2644.00,-30.00
Global IME Samunnat Scheme-1,58,23.40,22.96,23.00,150327.00,3463476.10,22.95,0.05
Goodwill Finance Co. Ltd.,1961,909.70,843.50,904.70,244320.00,218569130.20,827.00,77.70
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,400,1350.00,1313.00,1322.00,34921.00,46204069.70,1332.00,-10.00
Green Development Bank Ltd.,806,537.90,498.00,520.00,119086.00,61470926.60,489.00,31.00
GreenLife Hydropower Limited,1167,657.00,618.00,629.00,233257.00,146651355.90,633.00,-4.00
Guheshowori Merchant Bank & Finance Co. Ltd.,739,698.00,655.00,670.00,141082.00,95024412.00,648.00,22.00
Gurans Laghubitta Bittiya Sanstha Limited,56,1920.00,1879.90,1910.00,1752.00,3316204.00,1925.00,-15.00
Gurans Life Insurance Company Ltd.,252,785.40,755.00,776.00,41904.00,32592865.70,768.00,8.00
Gurkhas Finance Ltd.,763,1315.00,1248.00,1299.00,92530.00,119009566.90,1224.30,74.70
Himal Dolakha Hydropower Company Limited,3706,478.90,428.00,439.00,653184.00,298740931.20,440.00,-1.00
Himalaya Urja Bikas Company Limited,399,685.40,618.00,623.00,46165.00,29826862.60,639.90,-16.90
Himalayan Distillery Limited,1033,7680.00,7450.00,7535.00,32643.00,245842463.50,7624.00,-89.00
Himalayan General Insurance Co. Ltd,250,896.00,836.00,850.00,36172.00,30916750.30,832.00,18.00
Himalayan Power Partner Ltd.,925,730.00,691.00,726.00,250972.00,177378976.80,705.00,21.00
Hydorelectricity Investment and Development Company Ltd,3758,575.00,535.00,574.00,597928.00,337306902.80,574.90,-0.90
ICFC Finance Limited,1880,1109.70,980.00,1109.70,363865.00,376471919.90,1038.00,50.00
IME General Insurance Ltd.,205,1256.90,1221.10,1235.00,19234.00,23842947.90,1234.00,1.00
Infinity Laghubitta Bittiya Sanstha Limited,105,1938.00,1865.00,1911.00,5484.00,10491555.60,1936.00,-25.00
Janaki Finance Ltd.,828,730.00,685.00,713.00,176563.00,126010642.80,672.00,41.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,51,3700.00,3550.00,3590.00,1681.00,6093014.00,3556.00,34.00
Jeevan Bikas laghubitta  bittya sanstha ltd,34,3551.00,3292.70,3551.00,294.00,1036377.00,3228.20,322.80
Joshi Hydropower Development Company Ltd,976,507.00,455.00,472.00,106947.00,52536629.40,463.10,8.90
Jyoti Bikas Bank Limited,4894,643.00,588.00,623.00,904576.00,561544894.90,586.00,37.00
Jyoti Life Insurance Ltd,1097,757.80,732.00,748.10,18543.00,13833647.80,746.00,2.10
Kalika Microcredit Development Bank Ltd.,121,1472.00,1442.00,1442.00,8127.00,11786532.40,1472.00,-30.00
Kalika power Company Ltd,414,875.00,821.00,840.00,35233.00,29649981.20,840.00,0.00
Kamana Sewa Bikas Bank Limited,3406,866.90,770.00,845.00,677717.00,560843449.40,790.00,55.00
Karnali Development Bank Limited,908,554.90,505.00,549.00,147650.00,78655464.10,505.00,44.00
Khanikhola Hydropower Co. Ltd.,2933,556.20,456.30,490.00,328419.00,168979554.10,505.70,-15.70
Kisan Lagubitta Bittiya Sanstha Limited,52,1725.00,1701.00,1701.00,3697.00,6337384.00,1710.50,-9.50
Kumari Bank Limited,1294,394.00,375.00,387.00,264714.00,101444280.40,382.00,5.00
Kumari Equity Fund,103,10.20,10.08,10.15,94630.00,961570.90,10.22,-0.07
Laxmi Bank Limited,585,410.70,390.00,401.00,114501.00,45738372.70,397.80,3.20
Laxmi Equity Fund,72,11.64,11.04,11.10,183146.00,2055912.74,11.42,-0.32
Laxmi Laghubitta Bittiya Sanstha Ltd.,96,2405.00,2274.00,2360.00,8578.00,19976847.30,2310.00,50.00
Laxmi Unnati Kosh,77,11.50,10.89,10.98,167554.00,1834477.44,11.08,-0.10
Liberty Energy Company Limited,847,525.00,498.00,498.00,118371.00,60869444.90,509.00,-11.00
Life Insurance Co. Nepal,116,2400.00,2311.10,2390.00,14585.00,34173594.00,2346.00,44.00
Lumbini Bikas Bank Ltd.,3453,734.80,675.00,729.00,835074.00,597693976.10,668.00,61.00
Lumbini General Insurance Co. Ltd.,443,888.00,869.00,883.00,89848.00,78921869.30,869.00,14.00
Machhapuchhre Bank Limited,964,455.00,417.00,433.00,254492.00,109909587.60,424.00,9.00
Mahalaxmi Bikas Bank Ltd.,2951,751.30,665.00,751.00,787390.00,576919376.40,683.00,68.00
Mahila Lagubitta Bittiya Sanstha Limited ,147,5012.00,4950.00,5000.00,5122.00,25595867.00,5009.00,-9.00
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,35,2250.00,2191.00,2206.00,1488.00,3314889.20,2245.00,-39.00
Manjushree Finance Ltd.,1855,1456.00,1330.00,1370.00,248484.00,344335038.10,1328.00,42.00
Mega  Bank Nepal Ltd.,1528,389.00,374.20,382.90,274254.00,104035209.10,380.00,2.90
Mero Microfinance Bittiya Sanstha Ltd.,145,1679.00,1632.00,1645.00,9721.00,16030196.20,1659.00,-14.00
Mirmire Microfinance Development Bank Ltd.,113,1918.90,1888.00,1918.90,6171.00,11734602.60,1917.00,1.90
Miteri Development Bank Limited,680,837.00,790.00,823.00,107850.00,87962343.10,780.00,43.00
Mithila LaghuBitta Bittiya Sanstha Limited,28,2241.00,2200.10,2239.70,1061.00,2351571.00,2245.00,-5.30
Mountain Energy Nepal Limited,692,1521.00,1385.00,1521.00,53488.00,76271351.10,1408.00,113.00
Mountain Hydro Nepal Limited,415,717.00,679.00,685.00,76913.00,53598174.00,685.00,0.00
Muktinath Bikas Bank Ltd.,2300,850.00,783.00,834.00,378552.00,312277375.10,796.00,38.00
Multipurpose Finance Company  Limited,295,653.00,622.00,639.90,57557.00,36757563.50,609.90,30.00
NABIL BALANCED FUND-2,73,15.40,15.00,15.10,175990.00,2680006.50,15.30,-0.20
Nabil Bank Limited,1226,1505.00,1485.00,1495.00,119338.00,178292864.90,1495.00,0.00
Nabil Equity Fund,97,16.28,16.09,16.13,455474.00,7351381.98,16.19,-0.06
Narayani Development Bank Limited,132,965.00,921.00,945.00,14068.00,13145323.20,948.00,-3.00
National Hydro Power Company Limited,7453,530.90,490.00,498.00,1542200.00,788703520.70,482.70,15.30
National Life Insurance Co. Ltd.,438,1230.00,1190.00,1223.00,71382.00,86437381.90,1190.00,33.00
National Microfinance Bittiya Sanstha Ltd.,149,3520.00,3390.00,3450.00,6047.00,20981892.80,3457.00,8.00
Neco Insurance Co. Ltd.,438,1479.30,1440.00,1465.00,43487.00,63490758.30,1455.00,10.00
Nepal Bangladesh Bank Limited,1100,500.00,486.40,495.00,273083.00,134869388.80,491.10,3.90
Nepal Bank Limited,3665,575.00,542.00,564.00,783232.00,435294934.10,550.40,13.60
Nepal Credit And Commercial Bank Limited,942,369.00,357.70,361.90,207657.00,74986856.00,360.50,1.40
